symbol,direction,scenario_id,scenario_name,entry_price,stop_loss,take_profit,issued_at_tehran,status,outcome,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
SEI-USDT,LONG,S3,کرونوس (Cronus),0.04879000,0.04683840,0.00000000,2026-09-04 07:48:48,CLOSED,TRAIL_STOP,2026-09-04 04:43:21,0.04901500,0.200000,0.261160,10.00,0.461160,titan_signal
POL-USDT,LONG,S3,کرونوس (Cronus),0.09440000,0.09062400,0.00000000,2026-09-04 07:48:49,CLOSED,TRAIL_STOP,2026-09-04 05:42:34,0.09467000,0.200000,0.086017,10.00,0.286017,titan_signal
POL-USDT,LONG,B1,هایپریون (Hyperion),0.09440000,0.09062400,0.00000000,2026-09-04 07:48:51,CLOSED,TRAIL_STOP,2026-09-04 05:42:34,0.09467000,0.200000,0.086017,10.00,0.286017,titan_signal
PEPE-USDT,LONG,S3,کرونوس (Cronus),0.00000367,0.00000353,0.00000000,2026-09-04 07:48:53,CLOSED,TRAIL_STOP,2026-09-04 04:43:22,0.00000369,0.200000,0.290196,10.00,0.490196,titan_signal
PEPE-USDT,LONG,B1,هایپریون (Hyperion),0.00000367,0.00000353,0.00000000,2026-09-04 07:48:54,CLOSED,TRAIL_STOP,2026-09-04 04:43:22,0.00000369,0.200000,0.290196,10.00,0.490196,titan_signal
ETH-USDT,LONG,S1,پرومتئوس (Prometheus),2512.07000000,2411.58720000,0.00000000,2026-09-04 08:14:47,CLOSED,TRAIL_STOP,2026-09-04 08:45:03,2520.48500000,0.200000,0.134983,10.00,0.334983,titan_signal
ETH-USDT,LONG,S3,کرونوس (Cronus),2512.07000000,2411.58720000,0.00000000,2026-09-04 08:14:49,CLOSED,TRAIL_STOP,2026-09-04 08:45:03,2520.48500000,0.200000,0.134983,10.00,0.334983,titan_signal
ETH-USDT,LONG,B1,هایپریون (Hyperion),2512.07000000,2411.58720000,0.00000000,2026-09-04 08:14:50,CLOSED,TRAIL_STOP,2026-09-04 08:45:04,2520.48500000,0.200000,0.134983,10.00,0.334983,titan_signal
BNB-USDT,LONG,S1,پرومتئوس (Prometheus),725.76400000,696.73344000,0.00000000,2026-09-04 08:14:52,CLOSED,EOD_FORCE_CLOSE,2026-09-04 19:33:18,720.58900000,0.200000,-0.913042,10.00,-0.713042,titan_signal
BNB-USDT,LONG,S3,کرونوس (Cronus),725.76400000,696.73344000,0.00000000,2026-09-04 08:15:09,CLOSED,EOD_FORCE_CLOSE,2026-09-04 19:33:18,720.58900000,0.200000,-0.913042,10.00,-0.713042,titan_signal
